slug,day_number,title,detail_1,detail_2,date_label,time_label,tag,is_practice
day1,1,わたしとまちの今を見つめる,お互いを知り合うワーク,自分らしさの再発見ゲーム,7/xx sat,14:00〜16:00,,false
day2,2,まちのこれからに触れる,まちのリアルと未来の予測クイズ,理想の未来を考えるワーク,8/23 sun,14:00〜16:00,,false
day3,3,モヤモヤの正体を探る,自分の取り組みたいテーマ探し,課題の根本的な原因を探るワーク,10/3 sat,14:00〜16:00,,false
day4,4,アイデアをカタチにする,企画づくりのワーク,実践（はじめの一歩）に向けた準備,11/3頃予定,14:00〜16:00,実践期間①スタート,true
day5,5,はじめの一歩をシェアする,はじめの一歩と振り返り,ネクストステップに向けたワーク,1/16頃予定,14:00〜16:00,実践期間②,true
day6,6,想いを伝える・広げる,発信やデザインの方法を知る,挑戦と応援の輪を広げる発表会,3/13ごろ,14:00〜16:00,,false
